битие,genesis
изход,exodus
левит,leviticus
числа,numbers
второзаконие,deuteronomy
исус навиев,joshua
съдии,judges
рут,ruth
1 царе,1 samuel
2 царе,2 samuel
3 царе,1 kings
4 царе,2 kings
1 летописи,1 chronicles
2 летописи,2 chronicles
ездра,ezra
неемия,nehemiah
естир,ester
йов,job
псалми,psalms
притчи,proverbs
еклесиаст,ecclesiastes
песен на песните,song of solomon
исая,isaiah
еремия,jeremiah
плач еремиев,lamentations
езекил,ezekiel
данаил,daniel
осия,hosea
иоил,joel
амос,amos
авдий,obadiah
йон,jonah
михей,micah
наум,nahum
авакум,habakkuk
софоний,zephaniah
агей,haggai
захария,zachariah
малахия,malachi
матей,matthew
марко,mark
лука,luke
йоан,john
деяния,acts
яков,romans
1 петрово,1 peter
2 петрово,2 peter
1 йоаново,1 john
2 йоаново,2 john
3 йоаново,3 john
юда,jude
римляни,Romans
1 коринтяни,1 corinthians
2 коринтяни,2 corinthians
галатяни,galatians
ефесяни,ephesians
филипяни,philippians
колосяни,colossians
1 солунци,1 thessalonians
2 солунци,2 thessalonians
1 тимотей,1 timothy
2 тимотей,2 timothy
тит,titus
филимон,philemon
евреи,hebrews
откровение,revelation